time,teacher_id,class_id,base_chapters,base_sections,style,rank,tag,day,chapter_id,cnt,label
2019-11-05 12:32:52,4939,2289766,87119,87124,10100,1,view,2019-11-05,87119,,0
2019-11-05 12:32:52,4939,2289766,87119,"87120,87122,87124",20100,2,click,2019-11-05,87119,1.0,1
2019-11-05 18:25:44,10107,1466707,86812,86813,10100,1,click,2019-11-05,86812,1.0,1
2019-11-05 16:59:41,35118,3704410,54394,508275,10100,1,view,2019-11-05,54394,,0
2019-11-05 16:59:41,35118,3704410,54394,364045,10100,2,click,2019-11-05,54394,1.0,1
2019-11-05 16:29:02,62595,3726940,54394,508275,10100,1,view,2019-11-05,54394,,0
2019-11-05 16:29:02,62595,3726940,54394,54398,10100,2,view,2019-11-05,54394,,0
2019-11-05 16:29:02,62595,3726940,54394,364045,10100,3,click,2019-11-05,54394,1.0,1
2019-11-05 22:52:46,93490,3585524,87705,87710,10100,1,click,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,"87706,87707,87708,87709,87710",20100,2,view,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,87709,10100,3,view,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,87706,10100,4,view,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,87708,10100,5,view,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,87707,10100,6,view,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,"87709,87710",20100,7,view,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,"87708,87710",20100,8,view,2019-11-05,87705,,0
2019-11-05 22:53:39,93490,3585524,87705,"87706,87707,87708,87710",20100,9,click,2019-11-05,87705,1.0,1
2019-11-05 17:23:28,102935,3709100,54394,508275,10100,1,click,2019-11-05,54394,1.0,1
2019-11-05 06:46:31,103434,3691381,56161,56162,10100,1,click,2019-11-05,-1,1.0,1
2019-11-05 18:16:20,177675,3707846,86915,86916,10100,1,view,2019-11-05,86915,,0
2019-11-05 18:16:20,177675,3707846,86915,86918,10100,2,view,2019-11-05,86915,,0
2019-11-05 18:16:20,177675,3707846,86915,86917,10100,3,view,2019-11-05,86915,,0
2019-11-05 18:16:20,177675,3707846,86915,"86916,86917,86918,86919,86920,86921,505114",20100,4,click,2019-11-05,86915,1.0,1
2019-11-05 21:04:23,181240,2410282,87097,87104,10100,1,click,2019-11-05,87097,1.0,1
2019-11-05 11:55:47,208115,1318299,86794,86798,10100,1,click,2019-11-05,86794,1.0,1
2019-11-05 11:54:46,208115,1318299,86812,505080,10100,1,click,2019-11-05,86812,1.0,1
2019-11-05 09:28:55,252587,359086,87018,87019,10100,1,click,2019-11-05,87018,1.0,1
2019-11-05 11:28:32,279606,2502171,54456,"54457,54458,54459,505298",20100,1,click,2019-11-05,54456,1.0,1
2019-11-05 21:00:21,327776,2482904,56592,56596,10100,1,click,2019-11-05,56592,1.0,1
2019-11-05 19:15:26,371655,384091,87018,87019,10100,1,click,2019-11-05,87018,1.0,1
2019-11-05 19:39:01,393919,409368,86909,86911,10100,1,click,2019-11-05,86909,1.0,1
2019-11-05 19:22:31,406746,3732204,86915,86916,10100,1,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,86917,10100,2,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,86918,10100,3,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,"86916,86917,86918,86919,86920,86921,505114",20100,4,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,505114,10100,5,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,86920,10100,6,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,"86916,86917",20100,7,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,"86916,86917,86918",20100,8,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,86921,10100,9,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,86919,10100,10,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,"86916,86918",20100,11,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,"86916,86917,86918,86919",20100,12,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,"86916,86919",20100,13,view,2019-11-05,86915,,0
2019-11-05 19:22:31,406746,3732204,86915,"86916,86918,86919",20100,14,click,2019-11-05,86915,1.0,1
2019-11-05 10:31:10,414941,2773690,86812,86814,10100,1,click,2019-11-05,86812,1.0,1
2019-11-05 18:44:57,420434,3709314,54383,54386,10100,1,click,2019-11-05,54383,1.0,1
2019-11-05 18:48:03,425867,3739957,54468,"54469,54470,54471,54472",20100,1,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,54471,10100,2,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,54469,10100,3,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,54470,10100,4,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,54472,10100,5,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54469,54470,54471",20100,6,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54471,54472",20100,7,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54469,54471,54472",20100,8,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54470,54471,54472",20100,9,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54470,54472",20100,10,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54470,54471",20100,11,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54469,54470,54472",20100,12,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,"54468,54473","54470,54475",30100,13,view,2019-11-05,54468,,0
2019-11-05 18:48:03,425867,3739957,54468,"54469,54471",20100,14,click,2019-11-05,54468,1.0,1
2019-11-05 19:48:57,452239,2620512,54473,54474,10100,1,click,2019-11-05,54473,1.0,1
2019-11-05 17:21:31,465801,483617,86915,86916,10100,1,click,2019-11-05,86915,1.0,1
2019-11-05 18:06:33,466759,3481329,86816,86817,10100,1,view,2019-11-05,86816,,0
2019-11-05 18:06:33,466759,3481329,86816,505081,10100,2,view,2019-11-05,86816,,0
2019-11-05 18:06:33,466759,3481329,86816,86820,10100,3,click,2019-11-05,86816,1.0,1
2019-11-05 17:03:28,542641,3118489,54473,54479,10100,1,view,2019-11-05,54473,,0
