time,teacher_id,class_id,base_chapters,base_sections,style,rank,tag,day,chapter_id,cnt,label
2019-09-01 17:40:23,164344,169902,86991,86993,10010,1,click,2019-09-01,86991,1.0,1
2019-09-01 09:56:55,622209,914624,86874,86878,10100,1,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86875,86876,86877,86878",20100,2,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,86877,10100,3,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86875,86876",20010,4,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,"86867,86874","86868,86869,86871,86873,86875,86876,86877,86878",30100,5,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,86876,10100,6,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86877,86878",20100,7,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,"86874,86879","86876,86880",30100,8,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,"86859,86874","86860,86875,86876,86877,86878",30100,9,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,"86844,86874","86845,86846,86847,86875,86876,86877,86878",30100,10,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,"86861,86874","86862,86863,86864,86865,86866,86875,86876,86877,86878",30100,11,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,86875,10110,12,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86876,86877,86878",20100,13,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,"86859,86867,86874","86860,86868,86869,86871,86873,86875,86876,86877,86878",40100,14,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86875,86876,86878",20100,15,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86875,86876,86877",20110,16,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86876,86878",20100,17,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86875,86877,86878",20100,18,view,2019-09-01,86874,,0
2019-09-01 09:56:55,622209,914624,86874,"86875,86878",20100,19,click,2019-09-01,86874,1.0,1
2019-09-01 12:41:57,900145,3686868,55312,55313,10110,1,click,2019-09-01,55312,1.0,1
2019-09-01 07:48:50,992853,1640347,87182,"87183,87184,87185,87186,87187,87188,87189,87190",20100,1,view,2019-09-01,87182,,0
2019-09-01 07:48:50,992853,1640347,87182,87184,10100,2,view,2019-09-01,87182,,0
2019-09-01 07:48:50,992853,1640347,87182,"87183,87184,87185,87186,87188,87189,87190",20100,3,view,2019-09-01,87182,,0
2019-09-01 07:48:50,992853,1640347,87182,"87183,87184,87185,87186,87187,87188,87190",20100,4,view,2019-09-01,87182,,0
2019-09-01 07:48:50,992853,1640347,87182,"87183,87184,87185,87187,87188,87189,87190",20100,5,view,2019-09-01,87182,,0
2019-09-01 07:48:50,992853,1640347,87182,"87189,87190",20100,6,click,2019-09-01,87182,1.0,1
2019-09-01 22:02:16,1208447,3687885,87839,"87840,87841",20100,1,click,2019-09-01,87839,1.0,1
2019-09-01 12:36:04,1302245,1306480,86956,86968,10110,1,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,"86939,86947,86956","86940,86954,86968",40100,2,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86965,10100,3,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,"86966,86965",20110,4,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86961,10100,5,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86967,10100,6,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,"86947,86956","86954,86968",30100,7,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86959,10100,8,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,"86956,86969","86968,86971",30100,9,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86966,10100,10,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86964,10100,11,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,"86967,86968",20110,12,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86957,10100,13,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,"86966,86965,86967,86968",20110,14,view,2019-09-01,86956,,0
2019-09-01 12:36:04,1302245,1306480,86956,86963,10100,15,click,2019-09-01,86956,1.0,1
2019-09-01 18:01:59,1593251,2499607,87097,87098,10100,1,click,2019-09-01,87097,1.0,1
2019-09-01 07:12:33,1711627,1703463,87097,87098,10100,1,view,2019-09-01,87097,,0
2019-09-01 07:12:33,1711627,1703463,87097,87101,10100,2,view,2019-09-01,87097,,0
2019-09-01 07:12:33,1711627,1703463,87097,87100,10100,3,click,2019-09-01,87097,1.0,1
2019-09-01 18:55:34,1879876,1864086,87347,87350,10100,1,click,2019-09-01,87347,1.0,1
2019-09-01 07:38:03,1909472,3190380,55385,"55386,55387",20100,1,click,2019-09-01,55385,1.0,1
2019-09-01 17:11:38,2075237,2487508,54443,54448,10010,1,click,2019-09-01,54443,1.0,1
2019-09-01 20:36:39,2436956,3246965,54504,"54505,54506",20100,1,click,2019-09-01,54504,1.0,1
2019-09-01 10:36:34,2536679,2452393,87332,87340,10100,1,view,2019-09-01,87332,,0
2019-09-01 10:36:34,2536679,2452393,87332,"87334,87335,87336,87337,87338,87339,87340,87341",20100,2,view,2019-09-01,87332,,0
2019-09-01 10:36:34,2536679,2452393,87332,"87334,87335",20100,3,click,2019-09-01,87332,1.0,1
