time,teacher_id,class_id,base_chapters,base_sections,style,rank,tag,day,chapter_id,cnt,label
2019-09-02 22:01:23,3414800,3447621,88103,88110,10100,2,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88109,10100,3,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88104,10100,4,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88105,10100,5,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88112,10100,6,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88106,10100,7,view,2019-09-02,88103,1.0,0
2019-09-02 22:01:23,3414800,3447621,88103,88112,10110,8,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88108,10100,9,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88107,10100,10,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88111,10100,11,view,2019-09-02,88103,,0
2019-09-02 22:01:23,3414800,3447621,88103,88106,10001,12,view,2019-09-02,88103,1.0,0
2019-09-02 22:01:23,3414800,3447621,88103,88106,10101,13,click,2019-09-02,88103,1.0,1
2019-09-02 22:09:05,3539652,3515146,89640,89641,10100,1,click,2019-09-02,89640,1.0,1
2019-09-02 18:44:12,3541323,3689938,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 18:51:11,3563604,3531063,87606,87611,10010,1,view,2019-09-02,87606,,0
2019-09-02 18:51:11,3563604,3531063,87606,87607,10010,2,view,2019-09-02,87606,,0
2019-09-02 18:51:11,3563604,3531063,87606,87608,10100,3,view,2019-09-02,87606,,0
2019-09-02 18:51:11,3563604,3531063,87606,87609,10100,4,click,2019-09-02,87606,1.0,1
2019-09-02 12:17:25,3577481,3541209,54456,54457,10100,1,click,2019-09-02,54456,1.0,1
2019-09-02 19:30:26,3580403,3543346,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 16:32:24,3606921,3563489,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 06:59:43,3607632,3564217,87693,87699,10010,1,view,2019-09-02,87693,,0
2019-09-02 06:59:43,3607632,3564217,87693,87694,10010,2,click,2019-09-02,87693,1.0,1
2019-09-02 21:50:13,3626971,3579015,54456,54457,10100,1,click,2019-09-02,54456,1.0,1
2019-09-02 20:21:06,3663810,3608020,54443,54446,10010,1,click,2019-09-02,54443,1.0,1
2019-09-02 16:40:05,3677834,3618763,87526,87527,10010,1,click,2019-09-02,87526,1.0,1
2019-09-02 13:02:15,3699571,3636182,86794,86795,10100,1,click,2019-09-02,86794,1.0,1
2019-09-02 06:21:32,3708117,3643067,58590,"58602,58603",20100,1,view,2019-09-02,58590,,0
2019-09-02 06:21:32,3708117,3643067,"58590,58604","58601,58602,58605,58606",30100,2,view,2019-09-02,58590,,0
2019-09-02 06:21:32,3708117,3643067,58590,"58591,58592,58593,58595,58600,58603",20100,3,view,2019-09-02,58590,,0
2019-09-02 06:21:32,3708117,3643067,58590,"58601,58602,58603",20100,4,click,2019-09-02,58590,1.0,1
2019-09-02 17:53:41,3710442,3644950,58527,58528,10100,1,click,2019-09-02,58527,1.0,1
2019-09-02 05:57:14,3729861,3660738,86791,86793,10100,1,view,2019-09-02,86791,,0
2019-09-02 05:57:14,3729861,3660738,86791,86792,10100,2,view,2019-09-02,86791,,0
2019-09-02 05:57:14,3729861,3660738,86791,"86792,86793,424676",20100,3,click,2019-09-02,86791,1.0,1
2019-09-02 19:05:03,3733168,3663549,55816,55817,10100,1,click,2019-09-02,55816,1.0,1
2019-09-02 10:08:50,3743534,3676283,87097,87101,10110,1,view,2019-09-02,87097,,0
2019-09-02 10:08:50,3743534,3676283,87097,87100,10110,2,view,2019-09-02,87097,,0
2019-09-02 10:08:50,3743534,3676283,87097,87100,10010,3,view,2019-09-02,87097,,0
2019-09-02 10:08:50,3743534,3676283,87097,87100,10100,4,view,2019-09-02,87097,,0
2019-09-02 10:08:50,3743534,3676283,87097,87102,10110,5,view,2019-09-02,87097,,0
2019-09-02 10:08:50,3743534,3676283,87097,87098,10010,6,click,2019-09-02,87097,1.0,1
2019-09-02 17:31:10,3751782,3681296,54426,54427,10100,1,click,2019-09-02,54426,1.0,1
2019-09-02 17:25:32,3752356,3682377,86791,"86792,86793",20110,1,view,2019-09-02,86791,,0
2019-09-02 17:25:32,3752356,3682377,86791,86792,10110,2,click,2019-09-02,86791,1.0,1
2019-09-02 16:45:21,3752767,3683203,86791,86793,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 16:48:50,3752961,3683663,55385,"55386,55387,55388",20100,1,view,2019-09-02,55385,,0
2019-09-02 16:48:50,3752961,3683663,55385,"55386,55387",20100,2,view,2019-09-02,55385,,0
2019-09-02 16:48:50,3752961,3683663,55385,55386,10100,3,view,2019-09-02,55385,,0
2019-09-02 16:48:50,3752961,3683663,55385,55388,10100,4,view,2019-09-02,55385,,0
2019-09-02 16:48:50,3752961,3683663,"55385,55389","55386,55387,55388,55390",30100,5,click,2019-09-02,55385,1.0,1
2019-09-02 22:48:04,3753479,3419920,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 09:48:51,3754251,1208001,54510,54511,10100,1,click,2019-09-02,54510,1.0,1
2019-09-02 07:26:32,3754846,3688087,87018,87019,10110,1,click,2019-09-02,87018,1.0,1
2019-09-02 11:56:13,3755005,3688525,86991,86992,10100,1,click,2019-09-02,86991,1.0,1
2019-09-02 13:39:16,3755109,3688842,58079,58080,10010,1,click,2019-09-02,58079,1.0,1
2019-09-02 21:02:18,3756147,3690479,87682,87686,10100,1,click,2019-09-02,87682,1.0,1
2019-09-02 21:55:31,3756182,3690720,86976,86977,10010,1,click,2019-09-02,86976,1.0,1
