2019-09-01 00:13:26;3611125;3563220;55871;55872, 55873, 55874, 92520;20100;1;click;605486
2019-09-01 00:35:26;922827;1167593;89376;388695;10100;1;click;89377
2019-09-01 06:13:09;3065755;3039313;86791;86792;10100;1;click;86792
2019-09-01 06:28:51;2766065;3686553;86976, 86939, 86956, 86947;86955, 86957, 86979, 86943;40100;1;view;0
2019-09-01 06:28:51;2766065;3686553;86976;86977, 86978, 86979, 86980;20100;2;click;0
2019-09-01 06:39:08;3754065;3686100;86861;86862;10010;1;click;0
2019-09-01 06:45:23;3708117;3643067;58590;58602, 58603;20100;1;click;58602
2019-09-01 07:12:33;1711627;1703463;87097;87098;10100;1;view;87098
2019-09-01 07:12:33;1711627;1703463;87097;87101;10100;2;view;87098
2019-09-01 07:12:33;1711627;1703463;87097;87100;10100;3;click;87098
2019-09-01 07:32:00;3580403;3543346;87097;87098;10100;1;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87105;10100;2;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87103;10100;3;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87102;10100;4;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87101;10100;5;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87104;10100;6;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87104, 87105, 87098, 87100, 87101, 87102, 87103;20100;7;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87100;10100;8;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87104, 87105;20110;9;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87104, 87105, 87103;20010;10;view;87103
2019-09-01 07:32:00;3580403;3543346;87097;87105, 87103;20100;11;view;87103
2019-09-01 07:32:00;3580403;3543346;87097, 87106;87104, 87105, 87107, 87108, 87109, 87098, 87100, 87101, 87102, 87103;30100;12;click;87103
2019-09-01 07:38:34;3753545;3002361;54456;54457;10100;1;view;512812
2019-09-01 07:38:34;3753545;3002361;54456;54457, 54458, 54459, 505298;20100;2;click;512812
2019-09-01 07:48:50;992853;1640347;87182;87183, 87184, 87185, 87186, 87187, 87188, 87189, 87190;20100;1;view;87189
2019-09-01 07:48:50;992853;1640347;87182;87184;10100;2;view;87189
2019-09-01 07:48:50;992853;1640347;87182;87183, 87184, 87185, 87186, 87188, 87189, 87190;20100;3;view;87189
2019-09-01 07:48:50;992853;1640347;87182;87183, 87184, 87185, 87186, 87187, 87188, 87190;20100;4;view;87189
2019-09-01 07:48:50;992853;1640347;87182;87183, 87184, 87185, 87187, 87188, 87189, 87190;20100;5;view;87189
2019-09-01 07:48:50;992853;1640347;87182;87189, 87190;20100;6;click;87189
2019-09-01 08:03:22;1373657;1382189;87097;87098;10100;1;view;87103
2019-09-01 08:03:22;1373657;1382189;87097;87102;10100;2;view;87103
2019-09-01 08:03:22;1373657;1382189;87097;87104, 87105, 87098, 87100, 87101, 87102, 87103;20100;3;view;87103
2019-09-01 08:03:22;1373657;1382189;87097;87103;10100;4;view;87103
2019-09-01 08:03:22;1373657;1382189;87097;87101;10100;5;view;87103
2019-09-01 08:03:22;1373657;1382189;87097;87105;10100;6;view;87103
2019-09-01 08:03:22;1373657;1382189;87097;87104;10100;7;view;87103
2019-09-01 08:03:22;1373657;1382189;87097;87100;10100;8;click;87103
2019-09-01 08:34:22;2017525;2659257;86947;86953, 86954;20110;1;view;80685
2019-09-01 08:34:22;2017525;2659257;86947;86954;10100;2;view;80685
2019-09-01 08:34:22;2017525;2659257;86947;86948, 86949, 86950, 86951, 86952, 86953, 86954, 86955;20100;3;click;80685
2019-09-01 08:41:09;3681451;3686626;86991;86993;10100;1;click;86992
2019-09-01 09:02:48;3609297;3565464;86991;86993;10100;1;click;513371
2019-09-01 09:03:10;2702567;2684183;54456;54457;10100;1;click;54459
2019-09-01 09:13:58;764115;3685701;87097;87098;10100;1;click;0
2019-09-01 09:49:18;3749313;3683045;55828;55829, 55830, 55831, 55832, 55833, 55834;20100;1;view;55832
2019-09-01 09:49:18;3749313;3683045;55828;55832;10100;2;view;55832
2019-09-01 09:49:18;3749313;3683045;55828;55832, 55829, 55830, 55831;20010;3;click;55832
2019-09-01 09:49:51;3749313;3683045;55828;55829, 55830, 55831, 55832, 55833, 55834;20100;1;view;81807
2019-09-01 09:49:51;3749313;3683045;55828;55832;10100;2;view;81807
2019-09-01 09:49:51;3749313;3683045;55828;55832, 55829, 55830, 55831;20010;3;click;81807
2019-09-01 09:56:55;622209;914624;86874;86878;10100;1;view;86875
2019-09-01 09:56:55;622209;914624;86874;86875, 86876, 86877, 86878;20100;2;view;86875
2019-09-01 09:56:55;622209;914624;86874;86877;10100;3;view;86875
2019-09-01 09:56:55;622209;914624;86874;86875, 86876;20010;4;view;86875
2019-09-01 09:56:55;622209;914624;86874, 86867;86868, 86869, 86871, 86873, 86875, 86876, 86877, 86878;30100;5;view;86875
2019-09-01 09:56:55;622209;914624;86874;86876;10100;6;view;86875
2019-09-01 09:56:55;622209;914624;86874;86877, 86878;20100;7;view;86875
2019-09-01 09:56:55;622209;914624;86874, 86879;86880, 86876;30100;8;view;86875
2019-09-01 09:56:55;622209;914624;86874, 86859;86876, 86875, 86860, 86877, 86878;30100;9;view;86875
2019-09-01 09:56:55;622209;914624;86874, 86844;86845, 86878, 86875, 86876, 86877, 86846, 86847;30100;10;view;86875
2019-09-01 09:56:55;622209;914624;86874, 86861;86862, 86863, 86864, 86865, 86866, 86875, 86876, 86877, 86878;30100;11;view;86875
2019-09-01 09:56:55;622209;914624;86874;86875;10110;12;view;86875
2019-09-01 09:56:55;622209;914624;86874;86876, 86877, 86878;20100;13;view;86875
2019-09-01 09:56:55;622209;914624;86867, 86859, 86874;86860, 86868, 86869, 86871, 86873, 86875, 86876, 86877, 86878;40100;14;view;86875
2019-09-01 09:56:55;622209;914624;86874;86875, 86876, 86878;20100;15;view;86875
2019-09-01 09:56:55;622209;914624;86874;86875, 86876, 86877;20110;16;view;86875
2019-09-01 09:56:55;622209;914624;86874;86876, 86878;20100;17;view;86875
2019-09-01 09:56:55;622209;914624;86874;86875, 86877, 86878;20100;18;view;86875
2019-09-01 09:56:55;622209;914624;86874;86875, 86878;20100;19;click;86875
2019-09-01 10:04:23;255811;265709;86939;86941;10010;1;click;80664
2019-09-01 10:06:35;3748893;3678712;54944;54945;10100;1;click;54945
2019-09-01 10:08:01;3748893;3678712;54926;54933;10100;1;click;54933
2019-09-01 10:36:05;3016365;3003026;87097;87098;10100;1;click;87098
2019-09-01 10:36:34;2536679;2452393;87332;87340;10100;1;view;87335
2019-09-01 10:36:34;2536679;2452393;87332;87334, 87335, 87336, 87337, 87338, 87339, 87340, 87341;20100;2;view;87335
2019-09-01 10:36:34;2536679;2452393;87332;87334, 87335;20100;3;click;87335
2019-09-01 10:39:30;2241843;2177612;87323;87324;10100;1;view;87324
2019-09-01 10:39:30;2241843;2177612;87323;87324, 87325;20100;2;click;87324
2019-09-01 10:59:51;3276375;3303664;54456;54457;10100;1;click;54457
2019-09-01 11:38:10;307965;309082;86956;86968;10110;1;click;86960
2019-09-01 11:51:36;3750895;3680369;87053;87055;10100;1;click;87054
2019-09-01 11:52:42;3750895;3680369;87094;87095;10100;1;click;87095
2019-09-01 12:02:04;3752585;1973778;86791;86793;10100;1;click;86793
2019-09-01 12:10:52;295345;3684812;86791;86793;10100;1;click;86792
2019-09-01 12:19:27;3645399;3598110;87110;87111;10010;1;view;87115
2019-09-01 12:19:27;3645399;3598110;87110;87113;10010;2;view;87115
2019-09-01 12:19:27;3645399;3598110;87110;87114;10010;3;view;87115
2019-09-01 12:19:27;3645399;3598110;87097, 87106, 87110;87105, 87108, 87111, 87098, 87100, 87101;40100;4;view;87115
2019-09-01 12:19:27;3645399;3598110;87110;87112, 87113;20110;5;view;87115
2019-09-01 12:19:27;3645399;3598110;87097, 87110;87112, 87113, 87101, 87102;30010;6;click;87115
2019-09-01 12:25:03;3591163;3559330;54456;54457;10100;1;click;54459
2019-09-01 12:36:04;1302245;1306480;86956;86968;10110;1;view;86962
2019-09-01 12:36:04;1302245;1306480;86939, 86956, 86947;86968, 86954, 86940;40100;2;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86965;10100;3;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86965, 86966;20110;4;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86961;10100;5;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86967;10100;6;view;86962
2019-09-01 12:36:04;1302245;1306480;86947, 86956;86968, 86954;30100;7;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86959;10100;8;view;86962
2019-09-01 12:36:04;1302245;1306480;86969, 86956;86968, 86971;30100;9;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86966;10100;10;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86964;10100;11;view;86962
2019-09-01 12:36:04;1302245;1306480;86956;86968, 86967;20110;12;view;86962
